,link,price,availability,title,author,categories
0,https://echo-books.com/shop/moyo-nastoyashhee-imya-istorii-s-biografiej-s-pozhelaniem-na-sleduyushhij-god-i-avtografom-avtora/,"150,00",Нет в наличии,Моё настоящее имя. Истории с биографией (с пожеланием на следующий год и автографом автора),Улицкая Л.Е.,"Книги с пожеланием и автографом автора, Художественная литература"
1,https://echo-books.com/shop/bednaya-liza-i-ee-rodstvenniki-antologiya-russkoj-sentimentalnoj-prozy-s-pozhelaniem-i-avtografami-sostavitelej/,"150,00",В наличии,Бедная Лиза и ее родственники: антология русской сентиментальной прозы (с пожеланием и автографами составителей),"Екатерина Шульман, Галина Юзефович (составители)","Книги с пожеланием и автографом автора, Художественная литература"
2,https://echo-books.com/shop/lecz-20-vek-s-pozhelaniem-i-avtografom-avtora/,"300,00",В наличии,Лец. 20 век (с пожеланием и автографом автора),Виктор Шендерович,Книги с пожеланием и автографом автора
3,https://echo-books.com/shop/sredi-gien-s-pozhelaniem-i-avtografom-avtora/,"150,00",В наличии,Среди Гиен (с пожеланием и автографом автора),Виктор Шендерович,Книги с пожеланием и автографом автора
4,https://echo-books.com/shop/russkoe-ekonomicheskoe-chudo-s-pozhelaniem-i-avtografom-avtora/,"150,00",В наличии,Русское Экономическое Чудо (с пожеланием и автографом автора),Сергей Алексашенко,Книги с пожеланием и автографом автора
5,https://echo-books.com/shop/zaplyv-s-avtografom-avtora/,"150,00",В наличии,Заплыв (с автографом автора),Владимир Сорокин,Книги с пожеланием и автографом автора
6,https://echo-books.com/shop/norma-s-avtografom-avtora/,"150,00",В наличии,Норма (с автографом автора),Владимир Сорокин,Книги с пожеланием и автографом автора
7,https://echo-books.com/shop/saharnyj-kreml-s-avtografom-avtora/,"150,00",В наличии,Сахарный Кремль (с автографом автора),Сорокин В.Г.,"Книги с пожеланием и автографом автора, Художественная литература"
8,https://echo-books.com/shop/pokayannye-dni-s-pozhelaniem-i-avtografom-avtora/,"150,00",В наличии,Покаянные дни (с пожеланием и автографом автора),Олег Радзинский,"Книги с пожеланием и автографом автора, Новинки, Художественная литература"
9,https://echo-books.com/shop/kontrrevolyucziya-kak-stroilas-vertikal-vlasti-v-sovremennoj-rossii-s-pozhelaniem-ot-avtora/,"150,00",В наличии,Контрреволюция: Как строилась вертикаль власти в современной России (с пожеланием от автора),Алексашенко С.,Книги с пожеланием и автографом автора
